year,round,race_name,driver,stop_number,lap,duration
2025,1,Australian Grand Prix,norris,1,2,13.341
2025,1,Australian Grand Prix,max_verstappen,1,2,13.416
2025,1,Australian Grand Prix,piastri,1,2,13.078
2025,1,Australian Grand Prix,russell,1,2,13.672
2025,1,Australian Grand Prix,leclerc,1,2,14.182
2025,1,Australian Grand Prix,tsunoda,1,2,14.957
2025,1,Australian Grand Prix,albon,1,2,15.020
2025,1,Australian Grand Prix,hamilton,1,2,15.002
2025,1,Australian Grand Prix,gasly,1,2,15.104
2025,1,Australian Grand Prix,alonso,1,2,15.535
2025,1,Australian Grand Prix,stroll,1,2,15.505
2025,1,Australian Grand Prix,hulkenberg,1,2,15.130
2025,1,Australian Grand Prix,antonelli,1,2,14.658
2025,1,Australian Grand Prix,bortoleto,1,2,14.432
2025,1,Australian Grand Prix,ocon,1,2,14.395
2025,1,Australian Grand Prix,lawson,1,2,14.790
2025,1,Australian Grand Prix,bearman,1,2,14.605
2025,1,Australian Grand Prix,norris,2,3,12.910
2025,1,Australian Grand Prix,max_verstappen,2,3,13.740
2025,1,Australian Grand Prix,piastri,2,3,13.838
2025,1,Australian Grand Prix,russell,2,3,14.104
2025,1,Australian Grand Prix,leclerc,2,3,14.621
2025,1,Australian Grand Prix,tsunoda,2,3,15.223
2025,1,Australian Grand Prix,albon,2,3,16.993
2025,1,Australian Grand Prix,hamilton,2,3,16.191
2025,1,Australian Grand Prix,gasly,2,3,15.744
2025,1,Australian Grand Prix,alonso,2,3,16.241
2025,1,Australian Grand Prix,stroll,2,3,16.014
2025,1,Australian Grand Prix,hulkenberg,2,3,15.971
2025,1,Australian Grand Prix,antonelli,2,3,16.374
2025,2,Chinese Grand Prix,bortoleto,1,1,23.385
2025,2,Chinese Grand Prix,gasly,1,10,23.138
2025,2,Chinese Grand Prix,tsunoda,1,11,22.519
2025,2,Chinese Grand Prix,ocon,1,11,23.114
2025,2,Chinese Grand Prix,doohan,1,11,22.793
2025,2,Chinese Grand Prix,antonelli,1,12,22.675
2025,2,Chinese Grand Prix,hadjar,1,12,22.896
2025,2,Chinese Grand Prix,hamilton,1,13,22.388
2025,2,Chinese Grand Prix,max_verstappen,1,13,22.454
2025,2,Chinese Grand Prix,piastri,1,14,23.938
2025,2,Chinese Grand Prix,russell,1,14,22.324
2025,2,Chinese Grand Prix,norris,1,15,22.213
2025,2,Chinese Grand Prix,leclerc,1,15,22.151
2025,2,Chinese Grand Prix,sainz,1,17,22.721
2025,2,Chinese Grand Prix,lawson,1,18,22.536
2025,2,Chinese Grand Prix,albon,1,20,23.362
2025,2,Chinese Grand Prix,hulkenberg,1,20,22.959
2025,2,Chinese Grand Prix,bearman,1,26,22.808
2025,2,Chinese Grand Prix,bortoleto,2,26,22.790
2025,2,Chinese Grand Prix,lawson,2,30,22.355
2025,2,Chinese Grand Prix,hadjar,2,33,22.234
2025,2,Chinese Grand Prix,tsunoda,2,35,22.583
2025,2,Chinese Grand Prix,stroll,1,36,22.995
2025,2,Chinese Grand Prix,hamilton,2,37,22.364
2025,2,Chinese Grand Prix,tsunoda,3,46,38.102
2025,3,Japanese Grand Prix,stroll,1,9,23.724
2025,3,Japanese Grand Prix,doohan,1,15,23.382
2025,3,Japanese Grand Prix,russell,1,19,23.184
2025,3,Japanese Grand Prix,piastri,1,20,23.037
2025,3,Japanese Grand Prix,max_verstappen,1,21,24.397
2025,3,Japanese Grand Prix,norris,1,21,23.222
2025,3,Japanese Grand Prix,leclerc,1,21,23.346
